"parameter","mean","sd","2.5%","10%","50%","90%","97.5%","Rhat","n.eff"
"b0tracks[1,1]",-3.06,0.18,-3.46,-3.3,-3.06,-2.84,-2.72,1.01,1660
"b0tracks[2,1]",-3.12,0.16,-3.44,-3.32,-3.12,-2.92,-2.82,1,3102
"b0tracks[3,1]",-3.03,0.15,-3.33,-3.23,-3.03,-2.84,-2.74,1,3402
"b0tracks[4,1]",-2.69,0.13,-2.94,-2.85,-2.69,-2.53,-2.45,1,4301
"b0tracks[5,1]",-2.65,0.1,-2.86,-2.79,-2.65,-2.52,-2.46,1,3513
"b0tracks[6,1]",-2.85,0.11,-3.06,-2.99,-2.85,-2.71,-2.64,1,2577
"b0tracks[7,1]",-2.59,0.11,-2.81,-2.73,-2.59,-2.44,-2.37,1,2947
"b0tracks[8,1]",-2.28,0.12,-2.5,-2.43,-2.28,-2.13,-2.05,1,4034
"b0tracks[10,1]",-2.05,0.17,-2.39,-2.27,-2.05,-1.83,-1.72,1,6916
"b0tracks[11,1]",-1.92,0.19,-2.3,-2.17,-1.92,-1.68,-1.54,1,5270
"b0tracks[12,1]",-2.14,0.2,-2.53,-2.39,-2.14,-1.88,-1.75,1,7423
"b0tracks[13,1]",-2.29,0.17,-2.63,-2.51,-2.29,-2.07,-1.95,1,7229
"b0tracks[14,1]",-2.15,0.16,-2.46,-2.35,-2.15,-1.94,-1.84,1,4790
"b0tracks[1,2]",-2.66,0.15,-2.97,-2.85,-2.66,-2.46,-2.37,1,4442
"b0tracks[2,2]",-2.95,0.15,-3.24,-3.14,-2.94,-2.75,-2.65,1,7608
"b0tracks[3,2]",-2.88,0.17,-3.22,-3.1,-2.88,-2.66,-2.55,1,8949
"b0tracks[4,2]",-3.04,0.17,-3.38,-3.26,-3.04,-2.82,-2.71,1,7504
"b0tracks[5,2]",-3.26,0.17,-3.6,-3.47,-3.25,-3.04,-2.94,1,6712
"b0tracks[6,2]",-2.74,0.13,-3,-2.91,-2.74,-2.57,-2.48,1,7772
"b0tracks[7,2]",-2.87,0.13,-3.12,-3.04,-2.87,-2.71,-2.62,1,8104
"b0tracks[8,2]",-2.5,0.13,-2.75,-2.67,-2.5,-2.34,-2.25,1,8259
"b0tracks[10,2]",-2.01,0.19,-2.39,-2.26,-2.01,-1.76,-1.64,1,13892
"b0tracks[11,2]",-2.39,0.23,-2.85,-2.69,-2.38,-2.1,-1.95,1,14348
"b0tracks[12,2]",-1.82,0.17,-2.16,-2.04,-1.82,-1.59,-1.48,1,13865
"b0tracks[13,2]",-2.51,0.16,-2.82,-2.71,-2.5,-2.3,-2.2,1,14192
"b0tracks[14,2]",-2.1,0.14,-2.38,-2.28,-2.1,-1.92,-1.83,1,13703
